Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",C_0402_1005Metric,2,30pF,
"C10, C8",C_0402_1005Metric,2,1uF,C92755
"C11, C12, C13, C14, C15, C17, C18, C4, C6, C7, C9",C_0402_1005Metric,11,100nF,C83056
"C16, C3, C5",C_0402_1005Metric,3,10uF,
"D10, D100, D106, D107, D108, D109, D110, D116, D117, D118, D119, D120, D16, D17, D18, D19, D20, D26, D27, D28, D29, D30, D36, D37, D38, D39, D40, D46, D47, D48, D49, D50, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D7, D71, D72, D73, D74, D75, D8, D86, D87, D88, D89, D9, D90, D96, D97, D98, D99",D_SOD-123,60,1N4148W,
"R1, R4",R_0402_1005Metric,2,5.1k,
"R10, R3",R_0402_1005Metric,2,10k,
"R2, R5",R_0402_1005Metric,2,1k,
"R6, R7",R_0402_1005Metric,2,27R,C25100
"R8, R9",R_0402_1005Metric,2,R4.7k,
"SW1, SW2",SW-SMD_L6.0-W3.3-LS8.0,2,~,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW28, SW29, SW3, SW30, SW31, SW33, SW34, SW35, SW36, SW38, SW39, SW4, SW40, SW41, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW57, SW58, SW59, SW6, SW60, SW61, SW62, SW7, SW8, SW9",MXOnly-1U-Hotswap,56,SW_Push,
"SW27, SW42",MXOnly-1.5U-Hotswap-Vertical,2,SW_Push,
"SW32, SW37",MXOnly-2U-Hotswap-Vertical,2,SW_Push,
U1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,~,C82317
U10,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,PCA9555PW (IO Expander),C128392
U2,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,~,C26537
U3,RP2040,1,~,C2040
"USB1, USB2, USB3",USB-C-SMD_TYPE-C-31-M-31,3,USB Type C,C2760486
X1,CRYSTAL-SMD_L7.4-W4.0-LS8.0,1,S4T12000ZYFAC,C2149004
